Time,Temperature (°C),Pressure (kPa),Bottom Oil Temperature (°C),Top Oil Temperature (°C),BDV (kV),Health Index (%),Health Classification
4/22/2024,50,112,45,51,65,88,Bad
4/22/2024,70,118,51,58,63,71,Bad
4/22/2024,48,128,44,49,73,89,Good
4/22/2024,49,128,41,47,74,95,Good
4/22/2024,55,117,45,58,66,74,Need_Maintenance
4/22/2024,60,117,51,51,74,88,Good
4/22/2024,60,120,44,58,62,74,Need Maintenance
4/22/2024,61,119,43,58,62,84,Need Maintenance
4/22/2024,50,114,43,50,73,69,Good
4/22/2024,65,115,50,57,60,66,Need_Maintenance
4/22/2024,69,112,49,58,60,55,Bad
4/22/2024,61,114,51,51,72,79,Need Maintenance
4/22/2024,68,117,51,58,61,58,Bad
4/22/2024,50,129,43,51,71,92,Good
4/22/2024,58,120,43,48,64,79,Need_Maintenance
4/22/2024,47,127,45,50,75,95,Good
4/22/2024,58,117,44,58,70,82,Need_Maintenance
4/22/2024,61,113,49,57,64,73,Need_Maintenance
4/22/2024,47,127,44,50,79,75,Need Maintenance
4/22/2024,60,117,53,58,61,76,Bad
4/22/2024,60,122,51,57,65,87,Good
4/22/2024,47,119,42,48,76,89,Good
4/22/2024,70,108,52,58,56,55,Bad
4/22/2024,66,111,53,57,61,81,Need_Maintenance
4/22/2024,65,111,53,58,59,57,Bad
4/22/2024,58,126,48,50,67,80,Good
4/22/2024,49,128,43,49,75,81,Good
4/22/2024,66,108,52,58,58,61,Bad
4/22/2024,64,111,51,58,62,67,Bad
4/22/2024,50,126,45,48,74,91,Good
4/22/2024,49,118,45,50,78,80,Bad
4/22/2024,49,125,41,50,76,95,Good
4/22/2024,47,129,40,50,76,94,Good
4/22/2024,59,123,42,58,64,77,Need Maintenance
4/22/2024,48,129,41,50,79,93,Good
4/22/2024,70,108,51,57,61,55,Bad
4/22/2024,64,108,53,58,57,55,Bad
4/22/2024,70,111,51,58,55,59,Bad
4/22/2024,56,116,53,58,62,91,Bad
4/22/2024,65,108,51,58,74,70,Bad
4/22/2024,58,118,43,52,62,79,Good
4/22/2024,65,115,47,57,62,71,Need Maintenance
4/22/2024,65,108,50,58,62,61,Bad
4/22/2024,63,115,50,58,61,68,Need_Maintenance
4/22/2024,49,124,45,57,61,69,Good
4/22/2024,62,126,43,57,79,93,Good
4/22/2024,49,128,45,49,76,82,Good
4/22/2024,65,117,53,58,57,72,Bad
4/22/2024,66,108,53,58,58,62,Bad
4/22/2024,54,118,51,48,75,95,Good
4/22/2024,48,119,44,51,78,95,Good
4/22/2024,59,126,45,52,67,75,Need Maintenance
4/22/2024,57,114,51,57,67,86,Bad
4/22/2024,54,111,52,58,69,69,Need_Maintenance
4/22/2024,49,127,45,48,77,94,Good
4/22/2024,62,123,49,56,64,78,Need Maintenance
4/22/2024,58,117,51,58,59,80,Need Maintenance
4/22/2024,60,114,51,55,65,69,Good
4/22/2024,60,118,47,58,63,86,Need Maintenance
4/22/2024,47,129,43,51,76,93,Good
4/22/2024,50,120,42,51,79,90,Good
4/22/2024,58,113,52,55,75,78,Need Maintenance
4/22/2024,69,110,53,58,60,60,Bad
4/22/2024,62,117,45,52,72,82,Need Maintenance
4/22/2024,49,128,42,49,75,93,Need Maintenance
4/22/2024,47,124,44,49,75,89,Good
4/22/2024,47,128,42,48,76,95,Good
4/22/2024,68,114,53,58,58,55,Bad
4/22/2024,62,118,50,58,59,67,Need Maintenance
4/22/2024,49,119,43,50,75,89,Good
4/22/2024,66,118,44,50,79,89,Good
4/22/2024,48,129,41,48,79,91,Good
4/22/2024,65,120,51,58,64,75,Good
4/22/2024,59,116,45,57,74,75,Need Maintenance
4/22/2024,61,120,50,58,64,70,Good
4/22/2024,66,117,51,57,68,73,Good
4/22/2024,48,129,44,47,74,89,Good
4/22/2024,60,118,44,58,76,83,Good
4/22/2024,64,112,43,47,61,69,Good
4/22/2024,70,108,53,58,59,62,Bad
4/22/2024,48,127,42,47,79,92,Good
4/22/2024,63,119,44,52,78,88,Good
4/22/2024,66,114,53,58,62,67,Bad
4/22/2024,57,121,47,57,64,73,Good
4/22/2024,64,118,51,56,57,69,Bad
4/22/2024,60,121,42,58,60,81,Need Maintenance
4/22/2024,50,127,40,50,70,89,Good
4/22/2024,64,122,46,52,72,63,Good
4/22/2024,61,121,42,52,65,90,Need Maintenance
4/22/2024,52,117,41,50,65,82,Good
4/22/2024,49,127,44,52,76,94,Good
4/22/2024,48,126,44,51,73,89,Good
4/22/2024,64,121,48,58,62,56,Bad
4/22/2024,49,120,44,48,77,82,Good
4/22/2024,67,114,51,58,63,65,Bad
4/22/2024,48,127,43,49,75,91,Good
4/22/2024,47,125,42,48,76,92,Good
4/22/2024,52,121,45,52,75,88,Good
4/22/2024,48,126,42,49,78,92,Good
4/22/2024,62,116,51,49,64,66,Good
4/22/2024,47,124,42,49,78,94,Good
4/22/2024,60,116,53,57,61,67,Need Maintenance
4/22/2024,70,108,49,58,55,55,Bad
4/22/2024,60,117,51,58,62,83,Need_Maintenance
4/22/2024,61,128,53,51,73,93,Good
4/22/2024,48,127,43,49,78,91,Good
4/22/2024,47,128,43,50,74,88,Good
4/22/2024,50,125,41,53,76,80,Good
4/22/2024,60,115,53,58,75,89,Need_Maintenance
4/22/2024,63,115,51,57,60,62,Need_Maintenance
4/22/2024,62,119,53,50,61,76,Need_Maintenance
4/22/2024,48,125,44,49,78,95,Good
4/22/2024,50,124,41,48,74,94,Good
4/22/2024,48,127,45,48,79,89,Good
4/22/2024,64,122,53,57,66,75,Need Maintenance
4/22/2024,62,120,52,54,60,85,Need Maintenance
4/22/2024,56,118,53,58,69,83,Need Maintenance
4/22/2024,59,120,52,58,59,76,Need Maintenance
4/22/2024,48,129,46,49,74,93,Good
4/22/2024,47,114,42,53,73,91,Need Maintenance
